section,reference,title,body,ifc_type,occupancy,design_phase,code_category,primary_responsibility
232 Detention Facilities and Correctional Facilities,232.2.1,Cells with Mobility Features,". At least 2 percent, but no fewer than one, of the total number of cells in a facility shall provide mobility features complying with 807.2.","['Wall', 'Door', 'BuildingElementProxy']",['Institutional (I)'],"['sd', 'dd', 'cd']",accessibility,architect
232 Detention Facilities and Correctional Facilities,232.2.1.1,Beds,"In cells having more than 25 beds, at least 5 percent of the beds shall have clear floor space complying with 807.2.3.",['BuildingElementProxy'],['Institutional (I)'],"['sd', 'dd', 'cd']",accessibility,architect
232 Detention Facilities and Correctional Facilities,232.2.2,Cells with Communication Features,"At least 2 percent, but no fewer than one, of the total number of general holding cells and general housing cells equipped with audible emergency alarm systems and permanently installed telephones within the cell shall provide communication features complying with 807.3.","['Wall', 'Door']",['Institutional (I)'],"['sd', 'dd', 'cd']",accessibility,architect
232 Detention Facilities and Correctional Facilities,232.3,Special Holding Cells and Special Housing Cells,"Where special holding cells or special housing cells are provided, at least one cell serving each purpose shall provide mobility features complying with 807.2. Cells subject to this requirement include, but are not limited to, those used for purposes of orientation, protective custody, administrative or disciplinary detention or segregation, detoxification, and medical isolation.","['Wall', 'Door', 'BuildingElementProxy']",['Institutional (I)'],"['sd', 'dd', 'cd']",accessibility,architect
232 Detention Facilities and Correctional Facilities,232.4,Medical Care Facilities,Patient bedrooms or cells required to comply with 223 shall be provided in addition to any medical isolation cells required to comply with 232.3.,"['Door', 'Wall', 'Slab']",['Institutional (I)'],"['sd', 'dd', 'cd']",accessibility,architect
232 Detention Facilities and Correctional Facilities,232.5,Visiting Areas,Visiting areas shall comply with 232.5.,"['Wall', 'Door', 'Window']",['Institutional (I)'],"['sd', 'dd', 'cd']",accessibility,architect
232 Detention Facilities and Correctional Facilities,232.5.1,Cubicles and Counters,"At least 5 percent, but no fewer than one, of cubicles shall comply with 902 on both the visitor and detainee sides. Where counters are provided, at least one shall comply with 904.4.2 on both the visitor and detainee or inmate sides.","['BuildingElementProxy', 'Covering', 'Door']",['Institutional (I)'],"['sd', 'dd', 'cd']",accessibility,architect
232 Detention Facilities and Correctional Facilities,232.5.2,Partitions,Where solid partitions or security glazing separate visitors from detainees or inmates at least one of each type of cubicle or counter partition shall comply with 904.6.,"['Wall', 'Covering', 'BuildingElementProxy']",['Institutional (I)'],"['sd', 'dd', 'cd']",accessibility,architect
233 Residential Facilities,233.1,General,Facilities with residential dwelling units shall comply with 233. See additional requirements at 28 CFR 35.151(e) and 28 CFR 35.151(f) and 28 CFR 36.406(d) and 28 CFR 36.406(e).,"['Door', 'Ramp', 'Stair', 'Slab', 'Window']",['Residential (R)'],"['sd', 'dd', 'cd']",accessibility,architect
233 Residential Facilities,233.2,Residential Dwelling Units Provided by Entities Subject to HUD Section 504 Regulations,"Where facilities with residential dwelling units are provided by entities subject to regulations issued by the Department of Housing and Urban Development (HUD) under Section 504 of the Rehabilitation Act of 1973, as amended, such entities shall provide residential dwelling units with mobility features complying with 809.2 through 809.4 in a number required by the applicable HUD regulations. Residential dwelling units required to provide mobility features complying with 809.2 through 809.4 shall be on an accessible route as required by 206. In addition, such entities shall provide residential dwelling units with communication features complying with 809.5 in a number required by the applicable HUD regulations. Entities subject to 233.2 shall not be required to comply with 233.3.","['Door', 'Ramp', 'Stair', 'Slab', 'Window']",['Residential (R)'],"['sd', 'dd', 'cd']",accessibility,architect
233 Residential Facilities,233.3,Residential Dwelling Units Provided by Entities Not Subject to HUD Section 504 Regulations,"Facilities with residential dwelling units provided by entities not subject to regulations issued by the Department of Housing and Urban Development (HUD) under Section 504 of the Rehabilitation Act of 1973, as amended, shall comply with 233.3.","['Door', 'Ramp', 'RampFlight', 'Stair', 'Slab']",['Residential (R)'],"['sd', 'dd', 'cd']",accessibility,architect
233 Residential Facilities,233.3.1,Minimum Number: New Construction,Newly constructed facilities with residential dwelling units shall comply with 233.3.1.,"['BuildingElementProxy', 'Door', 'Slab', 'Wall', 'Window']",['Residential (R)'],"['sd', 'dd', 'cd']",accessibility,architect
233 Residential Facilities,233.3.1.1,Residential Dwelling Units with Mobility Features,"In facilities with residential dwelling units, at least 5 percent, but no fewer than one unit, of the total number of residential dwelling units shall provide mobility features complying with 809.2 through 809.4 and shall be on an accessible route as required by 206.","['Door', 'Ramp', 'Stair', 'Slab', 'BuildingElementProxy']",['Residential (R)'],"['sd', 'dd', 'cd']",accessibility,architect
233 Residential Facilities,233.3.1.2,Residential Dwelling Units with Communication Features,"In facilities with residential dwelling units, at least 2 percent, but no fewer than one unit, of the total number of residential dwelling units shall provide communication features complying with 809.5.","['BuildingElementProxy', 'Door', 'Window']",['Residential (R)'],"['sd', 'dd', 'cd']",accessibility,architect
233 Residential Facilities,233.3.2,Residential Dwelling Units for Sale,"Residential dwelling units offered for sale shall provide accessible features to the extent required by regulations issued by Federal agencies under the Americans with Disabilities Act or Section 504 of the Rehabilitation Act of 1973, as amended. [See additional requirements at 28 CFR 35.151(j).]","['Door', 'Ramp', 'Stair', 'Slab', 'Window']",['Residential (R)'],"['sd', 'dd', 'cd']",accessibility,architect
233 Residential Facilities,233.3.3,Additions,"Where an addition to an existing building results in an increase in the number of residential dwelling units, the requirements of 233.3.1 shall apply only to the residential dwelling units that are added until the total number of residential dwelling units complies with the minimum number required by 233.3.1. Residential dwelling units required to comply with 233.3.1.1 shall be on an accessible route as required by 206.","['Door', 'Ramp', 'Stair', 'Wall', 'Slab']",['Residential (R)'],"['sd', 'dd', 'cd']",accessibility,architect
233 Residential Facilities,233.3.4,Alterations,Alterations shall comply with 233.3.4.,"['Wall', 'Door', 'Window']","['Business (B)', 'Residential (R)', 'Assembly (A)']","['sd', 'dd', 'cd']",accessibility,architect
233 Residential Facilities,233.3.4.1,Alterations to Vacated Buildings,"Where a building is vacated for the purposes of alteration, and the altered building contains more than 15 residential dwelling units, at least 5 percent of the residential dwelling units shall comply with 809.2 through 809.4 and shall be on an accessible route as required by 206. In addition, at least 2 percent of the residential dwelling units shall comply with 809.5.","['Door', 'Slab', 'Ramp', 'Stair', 'Elevator']",['Residential (R)'],"['sd', 'dd', 'cd']",accessibility,architect
233 Residential Facilities,233.3.4.2,Alterations to Individual Residential Dwelling Units,"In individual residential dwelling units, where a bathroom or a kitchen is substantially altered, and at least one other room is altered, the requirements of 233.3.1 shall apply to the altered residential dwelling units until the total number of residential dwelling units complies with the minimum number required by 233.3.1.1 and 233.3.1.2. Residential dwelling units required to comply with 233.3.1.1 shall be on an accessible route as required by 206.","['Door', 'Ramp', 'Stair', 'Slab', 'Wall']",['Residential (R)'],"['sd', 'dd', 'cd']",accessibility,architect
233 Residential Facilities,233.3.5,Dispersion,"Residential dwelling units required to provide mobility features complying with 809.2 through 809.4 and residential dwelling units required to provide communication features complying with 809.5 shall be dispersed among the various types of residential dwelling units in the facility and shall provide choices of residential dwelling units comparable to, and integrated with, those available to other residents.","['BuildingElementProxy', 'Door', 'Window']",['Residential (R)'],"['sd', 'dd', 'cd']",accessibility,architect
234 Amusement Rides,234.1,General,Amusement rides shall comply with 234.,['BuildingElementProxy'],['Assembly (A)'],"['sd', 'dd', 'cd']",special_construction,architect
234 Amusement Rides,234.2,Load and Unload Areas,Load and unload areas serving amusement rides shall comply with 1002.3.,"['Ramp', 'Stair', 'Slab', 'Wall']",['Assembly (A)'],"['sd', 'dd', 'cd']",accessibility,architect
234 Amusement Rides,234.3,Minimum Number,"Amusement rides shall provide at least one wheelchair space complying with 1002.4, or at least one amusement ride seat designed for transfer complying with 1002.5, or at least one transfer device complying with 1002.6.",['BuildingElementProxy'],['Assembly (A)'],"['sd', 'dd', 'cd']",accessibility,architect
234 Amusement Rides,234.4,Existing Amusement Rides,"Where existing amusement rides are altered, the alteration shall comply with 234.4.",['BuildingElementProxy'],['Assembly (A)'],"['sd', 'dd', 'cd']",special_construction,architect
234 Amusement Rides,234.4.1,Load and Unload Areas,"Where load and unload areas serving existing amusement rides are newly designed and constructed, the load and unload areas shall comply with 1002.3.","['Slab', 'Ramp', 'Stair', 'Railing', 'Covering']",['Assembly (A)'],"['sd', 'dd', 'cd']",accessibility,architect
234 Amusement Rides,234.4.2,Minimum Number,"Where the structural or operational characteristics of an amusement ride are altered to the extent that the amusement ride’s performance differs from that specified by the manufacturer or the original design, the amusement ride shall comply with 234.3.",['BuildingElementProxy'],['Assembly (A)'],"['sd', 'dd', 'cd']",special_construction,architect
235 Recreational Boating Facilities,235.1,General,Recreational boating facilities shall comply with 235.,"['MooringDevice', 'NavigationElement']",['Utility and Miscellaneous (U)'],"['sd', 'dd', 'cd']",accessibility,architect
235 Recreational Boating Facilities,235.2,Boat Slips,"Boat slips complying with 1003.3.1 shall be provided in accordance with Table 235.2. Where the number of boat slips is not identified, each 40 feet (12 m) of boat slip edge provided along the perimeter of the pier shall be counted as one boat slip for the purpose of this section.","['MooringDevice', 'NavigationElement']",['Utility and Miscellaneous (U)'],"['sd', 'dd', 'cd']",site_planning,architect
235 Recreational Boating Facilities,235.2.1,Dispersion,"Boat slips complying with 1003.3.1 shall be dispersed throughout the various types of boat slips provided. Where the minimum number of boat slips required to comply with 1003.3.1 has been met, no further dispersion shall be required.",['NavigationElement'],['Utility and Miscellaneous (U)'],"['sd', 'dd', 'cd']",accessibility,architect
235 Recreational Boating Facilities,235.3,Boarding Piers at Boat Launch Ramps,"Where boarding piers are provided at boat launch ramps, at least 5 percent, but no fewer than one, of the boarding piers shall comply with 1003.3.2.","['MooringDevice', 'NavigationElement']",['Utility and Miscellaneous (U)'],"['sd', 'dd', 'cd']",accessibility,architect
236 Exercise Machines and Equipment,236.1,General,At least one of each type of exercise machine and equipment shall comply with 1004.,['BuildingElementProxy'],['Assembly (A)'],"['sd', 'dd', 'cd']",accessibility,architect
237 Fishing Piers and Platforms,237.1,General,Fishing piers and platforms shall comply with 1005.,"['BuildingElementProxy', 'Slab', 'Railing']",['Assembly (A)'],"['sd', 'dd', 'cd']",means_of_egress,architect
238 Golf Facilities,238.1,General,Golf facilities shall comply with 238.,['BuildingElementProxy'],['Assembly (A)'],"['sd', 'dd', 'cd']",accessibility,architect
238 Golf Facilities,238.2,Golf Courses,Golf courses shall comply with 238.2.,"['BuildingElementProxy', 'Pavement', 'EarthworksElement']",['Assembly (A)'],"['sd', 'dd', 'cd']",site_planning,architect
238 Golf Facilities,238.2.1,Teeing Grounds,"Where one teeing ground is provided for a hole, the teeing ground shall be designed and constructed so that a golf car can enter and exit the teeing ground. Where two teeing grounds are provided for a hole, the forward teeing ground shall be designed and constructed so that a golf car can enter and exit the teeing ground. Where three or more teeing grounds are provided for a hole, at least two teeing grounds, including the forward teeing ground, shall be designed and constructed so that a golf car can enter and exit each teeing ground.","['Pavement', 'Slab']",['Assembly (A)'],"['sd', 'dd', 'cd']",accessibility,architect
238 Golf Facilities,238.2.2,Putting Greens,Putting greens shall be designed and constructed so that a golf car can enter and exit the putting green.,"['Slab', 'Ramp', 'BuildingElementProxy']","['Assembly (A)', 'Utility and Miscellaneous (U)']","['sd', 'dd', 'cd']",accessibility,architect
238 Golf Facilities,238.2.3,Weather Shelters,"Where provided, weather shelters shall be designed and constructed so that a golf car can enter and exit the weather shelter and shall comply with 1006.4.","['BuildingElementProxy', 'Wall', 'Roof', 'Slab', 'Door']",['Utility and Miscellaneous (U)'],"['sd', 'dd', 'cd']",means_of_egress,architect
238 Golf Facilities,238.3,"Practice Putting Greens, Practice Teeing Grounds, and Teeing Stations at Driving Ranges","At least 5 percent, but no fewer than one, of practice putting greens, practice teeing grounds, and teeing stations at driving ranges shall be designed and constructed so that a golf car can enter and exit the practice putting greens, practice teeing grounds, and teeing stations at driving ranges.","['Slab', 'Ramp']",['Assembly (A)'],"['sd', 'dd', 'cd']",accessibility,architect
239 Miniature Golf Facilities,239.1,General,Miniature golf facilities shall comply with 239.,"['Site', 'BuildingElementProxy', 'Pavement']",['Assembly (A)'],"['sd', 'dd', 'cd']",accessibility,architect
239 Miniature Golf Facilities,239.2,Minimum Number,At least 50 percent of holes on miniature golf courses shall comply with 1007.3.,['BuildingElementProxy'],['Assembly (A)'],"['sd', 'dd', 'cd']",accessibility,architect
239 Miniature Golf Facilities,239.3,Miniature Golf Course Configuration,Miniature golf courses shall be configured so that the holes complying with 1007.3 are consecutive. Miniature golf courses shall provide an accessible route from the last hole complying with 1007.3 to the course entrance or exit without requiring travel through any other holes on the course.,"['Pavement', 'BuildingElementProxy']",['Assembly (A)'],"['sd', 'dd', 'cd']",accessibility,architect
240 Play Areas,240.1,General,"Play areas for children ages 2 and over shall comply with 240. Where separate play areas are provided within a site for specific age groups, each play area shall comply with 240.","['Site', 'Pavement', 'Rail', 'Covering']","['Assembly (A)', 'Educational (E)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
240 Play Areas,240.1.1,Additions,"Where play areas are designed and constructed in phases, the requirements of 240 shall apply to each successive addition so that when the addition is completed, the entire play area complies with all the applicable requirements of 240.","['Site', 'BuildingElementProxy', 'Covering', 'Slab']",['Assembly (A)'],"['sd', 'dd', 'cd']",accessibility,architect
240 Play Areas,240.2,Play Components,"Where provided, play components shall comply with 240.2.",['BuildingElementProxy'],"['Assembly (A)', 'Educational (E)']","['sd', 'dd', 'cd']",accessibility,architect
240 Play Areas,240.2.1,Ground Level Play Components,"Ground level play components shall be provided in the number and types required by 240.2.1. Ground level play components that are provided to comply with 240.2.1.1 shall be permitted to satisfy the additional number required by 240.2.1.2 if the minimum required types of play components are satisfied. Where two or more required ground level play components are provided, they shall be dispersed throughout the play area and integrated with other play components.","['BuildingElementProxy', 'Slab', 'Covering']","['Assembly (A)', 'Educational (E)']","['sd', 'dd', 'cd']",accessibility,architect
240 Play Areas,240.2.1.1,Minimum Number and Types,"Where ground level play components are provided, at least one of each type shall be on an accessible route and shall comply with 1008.4.","['BuildingElementProxy', 'Slab', 'Ramp']","['Assembly (A)', 'Educational (E)']","['sd', 'dd', 'cd']",accessibility,architect
240 Play Areas,240.2.1.2,Additional Number and Types,"Where elevated play components are provided, ground level play components shall be provided in accordance with Table 240.2.1.2 and shall comply with 1008.4.","['BuildingElementProxy', 'Ramp', 'RampFlight']","['Assembly (A)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
240 Play Areas,240.2.2,Elevated Play Components,"Where elevated play components are provided, at least 50 percent shall be on an accessible route and shall comply with 1008.4.","['BuildingElementProxy', 'Ramp', 'RampFlight', 'Slab']","['Assembly (A)', 'Educational (E)', 'Institutional (I)']","['sd', 'dd', 'cd']",accessibility,architect
"242 Swimming Pools, Wading Pools, and Spas",242.1,General,"Swimming pools, wading pools, and spas shall comply with 242.","['Slab', 'Covering', 'BuildingElementProxy']","['Assembly (A)', 'Residential (R)', 'Institutional (I)']","['sd', 'dd', 'cd']",accessibility,architect
"242 Swimming Pools, Wading Pools, and Spas",242.2,Swimming Pools,At least two accessible means of entry shall be provided for swimming pools. Accessible means of entry shall be swimming pool lifts complying with 1009.2; sloped entries complying with 1009.3; transfer walls complying with 1009.4; transfer systems complying with 1009.5; and pool stairs complying with 1009.6. At least one accessible means of entry provided shall comply with 1009.2 or 1009.3.,"['BuildingElementProxy', 'Stair', 'Ramp']","['Assembly (A)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
"242 Swimming Pools, Wading Pools, and Spas",242.3,Wading Pools,At least one accessible means of entry shall be provided for wading pools. Accessible means of entry shall comply with sloped entries complying with 1009.3.,"['Slab', 'Ramp', 'BuildingElementProxy']","['Assembly (A)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
"242 Swimming Pools, Wading Pools, and Spas",242.4,Spas,At least one accessible means of entry shall be provided for spas. Accessible means of entry shall comply with swimming pool lifts complying with1009.2; transfer walls complying with 1009.4; or transfer systems complying with 1009.5.,"['BuildingElementProxy', 'Slab', 'Wall']","['Assembly (A)', 'Residential (R)', 'Institutional (I)']","['sd', 'dd', 'cd']",accessibility,architect
243 Shooting Facilities with Firing Positions,243.1,General,"Where shooting facilities with firing positions are designed and constructed at a site, at least 5 percent, but no fewer than one, of each type of firing position shall comply with 1010.","['BuildingElementProxy', 'Wall', 'Slab', 'Door']",['Assembly (A)'],"['sd', 'dd', 'cd']",accessibility,architect
301 General,301.1,Scope,The provisions of Chapter 3 shall apply where required by Chapter 2 or where referenced by a requirement in this document.,['BuildingElementProxy'],"['Assembly (A)', 'Business (B)', 'Educational (E)', 'Factory and Industrial (F)', 'Residential (R)']","['concept', 'sd', 'dd', 'cd']",occupancy_classification,architect
302 Floor or Ground Surfaces,302.1,General,"Floor and ground surfaces shall be stable, firm, and slip resistant and shall comply with 302.","['Slab', 'Ramp', 'RampFlight', 'Stair', 'StairFlight']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Mercantile (M)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
302 Floor or Ground Surfaces,302.2,Carpet,"Carpet or carpet tile shall be securely attached and shall have a firm cushion, pad, or backing or no cushion or pad. Carpet or carpet tile shall have a level loop, textured loop, level cut pile, or level cut/uncut pile texture. Pile height shall be 1/2 inch (13 mm) maximum. Exposed edges of carpet shall be fastened to floor surfaces and shall have trim on the entire length of the exposed edge. Carpet edge trim shall comply with 303.","['Covering', 'Slab']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Mercantile (M)', 'Residential (R)']","['sd', 'dd', 'cd']",finishes_materials,architect
302 Floor or Ground Surfaces,302.3,Openings,"Openings in floor or ground surfaces shall not allow passage of a sphere more than 1/2 inch (13 mm) diameter except as allowed in 407.4.3, 409.4.3, 410.4, 810.5.3 and 810.10. Elongated openings shall be placed so that the long dimension is perpendicular to the dominant direction of travel.","['Slab', 'Ramp', 'Stair', 'RampFlight', 'StairFlight']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
303 Changes in Level,303.1,General,"Where changes in level are permitted in floor or ground surfaces, they shall comply with 303.","['Slab', 'Ramp', 'Stair']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Mercantile (M)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
303 Changes in Level,303.2,Vertical,Changes in level of 1/4 inch (6.4 mm) high maximum shall be permitted to be vertical.,"['Slab', 'Ramp', 'Stair', 'StairFlight']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Residential (R)', 'Mercantile (M)']","['sd', 'dd', 'cd']",accessibility,architect
303 Changes in Level,303.3,Beveled,Changes in level between 1/4 inch (6.4 mm) high minimum and 1/2 inch (13 mm) high maximum shall be beveled with a slope not steeper than 1:2.,"['Slab', 'Ramp', 'Stair', 'StairFlight', 'Door']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Residential (R)', 'Mercantile (M)']","['sd', 'dd', 'cd']",accessibility,architect
303 Changes in Level,303.4,Ramps,"Changes in level greater than 1/2 inch (13 mm) high shall be ramped, and shall comply with 405 or 406.","['Ramp', 'RampFlight', 'Slab']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Residential (R)', 'Institutional (I)']","['sd', 'dd', 'cd']",accessibility,architect
304 Turning Space,304.1,General,Turning space shall comply with 304.,"['Slab', 'Wall', 'Door']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Mercantile (M)']","['sd', 'dd', 'cd']",accessibility,architect
304 Turning Space,304.2,Floor or Ground Surfaces,Floor or ground surfaces of a turning space shall comply with 302. Changes in level are not permitted.,"['Slab', 'Ramp', 'Stair', 'RampFlight', 'Covering']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Residential (R)', 'Mercantile (M)']","['sd', 'dd', 'cd']",accessibility,architect
304 Turning Space,304.3,Size,Turning space shall comply with 304.3.1 or 304.3.2.,"['Slab', 'Wall', 'Door']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Mercantile (M)']","['sd', 'dd', 'cd']",accessibility,architect
304 Turning Space,304.3.1,Circular Space,The turning space shall be a space of 60 inches (1525 mm) diameter minimum. The space shall be permitted to include knee and toe clearance complying with 306.,"['Slab', 'Door', 'BuildingElementProxy']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
304 Turning Space,304.3.2,T-Shaped Space,The turning space shall be a T-shaped space within a 60 inch (1525 mm) square minimum with arms and base 36 inches (915 mm) wide minimum. Each arm of the T shall be clear of obstructions 12 inches (305 mm) minimum in each direction and the base shall be clear of obstructions 24 inches (610 mm) minimum. The space shall be permitted to include knee and toe clearance complying with 306 only at the end of either the base or one arm.,"['Slab', 'Wall', 'Door']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
304 Turning Space,304.4,Door Swing,Doors shall be permitted to swing into turning spaces.,['Door'],"['Assembly (A)', 'Business (B)', 'Educational (E)', 'Residential (R)', 'Institutional (I)']","['sd', 'dd', 'cd']",accessibility,architect
305 Clear Floor or Ground Space,305.1,General,Clear floor or ground space shall comply with 305.,"['Slab', 'Door', 'Ramp', 'Stair', 'RampFlight']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Mercantile (M)']","['sd', 'dd', 'cd']",accessibility,architect
305 Clear Floor or Ground Space,305.2,Floor or Ground Surfaces,Floor or ground surfaces of a clear floor or ground space shall comply with 302. Changes in level are not permitted.,"['Slab', 'Ramp', 'Stair', 'Floor', 'Pavement']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Factory and Industrial (F)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
305 Clear Floor or Ground Space,305.3,Size,The clear floor or ground space shall be 30 inches (760 mm) minimum by 48 inches (1220 mm) minimum.,"['Slab', 'Ramp', 'Door']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
305 Clear Floor or Ground Space,305.4,Knee and Toe Clearance,"Unless otherwise specified, clear floor or ground space shall be permitted to include knee and toe clearance complying with 306.","['Slab', 'Wall', 'Door']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Residential (R)', 'Mercantile (M)']","['sd', 'dd', 'cd']",accessibility,architect
305 Clear Floor or Ground Space,305.5,Position,"Unless otherwise specified, clear floor or ground space shall be positioned for either forward or parallel approach to an element.","['Door', 'Window', 'Ramp', 'Stair', 'Elevator']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Residential (R)', 'Mercantile (M)']","['sd', 'dd', 'cd']",accessibility,architect
305 Clear Floor or Ground Space,305.6,Approach,One full unobstructed side of the clear floor or ground space shall adjoin an accessible route or adjoin another clear floor or ground space.,"['Slab', 'Ramp', 'Door']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
305 Clear Floor or Ground Space,305.7,Maneuvering Clearance,"Where a clear floor or ground space is located in an alcove or otherwise confined on all or part of three sides, additional maneuvering clearance shall be provided in accordance with 305.7.1 and 305.7.2.","['Wall', 'Door', 'Slab']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Residential (R)', 'Institutional (I)']","['sd', 'dd', 'cd']",accessibility,architect
305 Clear Floor or Ground Space,305.7.1,Forward Approach,Alcoves shall be 36 inches (915 mm)wide minimum where the depth exceeds 24 inches (610 mm).,"['Wall', 'Slab', 'Door']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Residential (R)', 'Institutional (I)']","['sd', 'dd', 'cd']",accessibility,architect
305 Clear Floor or Ground Space,305.7.2,Parallel Approach,Alcoves shall be 60 inches (1525 mm) wide minimum where the depth exceeds 15 inches (380 mm).,"['Wall', 'Slab', 'BuildingElementProxy']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Mercantile (M)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
306 Knee and Toe Clearance,306.1,General,"Where space beneath an element is included as part of clear floor or ground space or turning space, the space shall comply with 306. Additional space shall not be prohibited beneath an element but shall not be considered as part of the clear floor or ground space or turning space.","['Slab', 'Door', 'Window', 'Stair', 'Ramp']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Residential (R)', 'Mercantile (M)']","['sd', 'dd', 'cd']",accessibility,architect
306 Knee and Toe Clearance,306.2.1,General,Space under an element between the finish floor or ground and 9 inches (230 mm) above the finish floor or ground shall be considered toe clearance and shall comply with 306.2.,"['Wall', 'Slab', 'Door', 'Ramp', 'Stair']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Mercantile (M)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
306 Knee and Toe Clearance,306.2.2,Maximum Depth,Toe clearance shall extend 25 inches (635 mm) maximum under an element.,"['Slab', 'Covering', 'Wall', 'BuildingElementProxy']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
306 Knee and Toe Clearance,306.2.3,Minimum Required Depth,"Where toe clearance is required at an element as part of a clear floor space, the toe clearance shall extend 17 inches (430 mm) minimum under the element.","['Slab', 'Wall', 'Covering', 'BuildingElementProxy']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
306 Knee and Toe Clearance,306.2.4,Additional Clearance,Space extending greater than 6 inches (150 mm) beyond the available knee clearance at 9 inches (230 mm) above the finish floor or ground shall not be considered toe clearance.,"['Wall', 'Slab', 'Covering', 'Door']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
306 Knee and Toe Clearance,306.2.5,Width,Toe clearance shall be 30 inches (760 mm) wide minimum.,"['Stair', 'Ramp', 'RampFlight', 'Slab']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Mercantile (M)']","['sd', 'dd', 'cd']",accessibility,architect
306 Knee and Toe Clearance,306.3.1,General,Space under an element between 9 inches (230 mm) and 27 inches (685 mm) above the finish floor or ground shall be considered knee clearance and shall comply with 306.3.,"['Slab', 'Wall', 'Door', 'Window']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
306 Knee and Toe Clearance,306.3.2,Maximum Depth,Knee clearance shall extend 25 inches (635 mm) maximum under an element at 9 inches (230 mm) above the finish floor or ground.,"['Slab', 'Covering']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Mercantile (M)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
306 Knee and Toe Clearance,306.3.3,Minimum Required Depth,"Where knee clearance is required under an element as part of a clear floor space, the knee clearance shall be 11 inches (280 mm) deep minimum at 9 inches (230 mm) above the finish floor or ground, and 8 inches (205 mm) deep minimum at 27 inches (685 mm) above the finish floor or ground.","['Slab', 'Covering', 'Wall', 'Door']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Institutional (I)', 'Mercantile (M)']","['sd', 'dd', 'cd']",accessibility,architect
306 Knee and Toe Clearance,306.3.4,Clearance Reduction,"Between 9 inches (230 mm) and 27 inches (685 mm) above the finish floor or ground, the knee clearance shall be permitted to reduce at a rate of 1 inch (25 mm) in depth for each 6 inches (150 mm) in height.","['Slab', 'Wall', 'Door']","['Assembly (A)', 'Business (B)', 'Educational (E)', 'Mercantile (M)', 'Residential (R)']","['sd', 'dd', 'cd']",accessibility,architect
